Bernardeta;Kud³o
Sulimiera;Cerkowiak
Nonna;Storoniañski
Benita;JamróŸkiewicz
Paula;Birbant
Ofelia;Franczyszyn
Teodozja;Pstus
Ewa;Barnkiewicz
Izyda;Domes
Sandra;Bia³owus
Anna;Ficyk
Teodoryka;K³uciarz
¯ywia;Bednarczyk
Amelia;Fenentka
Anita;Gnoch
Berna;Harcu³a
Andromeda;Reperecka
Bernardeta;Bruszków
Krzesis³awa;Uchmann
Tekla;Kierszka
Cezaryna;Parchoñska
Wanda;Lomperty
Berta;Czoka³³o
Janina;Sztandura
Sebastiana;Kierniok
Jowita;Nahrat
Witolda;Gawanowski
Leopolda;Morcinkowski
Aurela;Wiercich
Fabia;Rechcygier
Amalia;Kona¿ewska
Afrodyta;Godyñ
Eliza;Kozider
Lechos³awa;Penda³a
Bêdzis³awa;Pioniecki
Emerencja;Miziej
Gallina;Denasiewicz
Scholastyka;Sakrañska
Sabina;Lesikiewicz
Domos³awa;Framêga
Hipolita;Nigdorf
Paulina;£aniek
Juda;Drynkman
Biruta;Podlasewska
Eugenia;PraŸuch
Ludmi³a;¯u¿a
Atanazja;Szmieliñski
Matylda;Zegarzewski
Jarmi³a;Grzyczon
Leonarda;Dul
Gabriela;Siarkiewicz-Hoszowski
Edmunda;Juretzek
Eudoksja;Fraund
Szeliga;Piertaszek
Sandra;Jêdrejczak
Sofia;Kowaluk-£ukasiewicz
Iwa;£ubiasz
Raissa;Podziutko
Otylia;Burbi³a
Marita;¯ajkowski
Jakobina;Zimdars
Bratumi³a;Karbowczuk
Mi³a;Osacka
Laurentyna;Kawelicz
Balbina;£asikowska
Melania;Œlagor
Odilla;Kapustycz
Borzys³awa;Butniewski
Karola;Korzewczyñska
Begina;Cze³czyñska
Olga;Saczarczuk
Sabina;Paædzior
Wielis³awa;Osocha
Gizela;Struziak
Galla;Goeck
Violetta;Dobroch
Miriam;Kleniowska
Kamelia;Budzioszek
Diomada;Getke
Bolis³awa;Timoñczuk
Amata;Kaœpar
Iryda;Bagger
Pryska;Mielcuszek
Laurentyna;Dziminiak
Gustawa;Czury³o vel Cury³a
Toma;Sowadski
Sawa;Œlipierski
W³adys³awa;Nawroth
Eligia;Bikin
Alojza;Bolisêda
Dajana;Bruuner
Emilia;Szuwald
Liwia;Klêp
Koleta;Lewus
Edyta;Szukie³a
Liberata;Nimbach
Erwina;Cho³dys
Diomeda;Deligo
Samuela;Smeiduch
Agata;Kocina
Dziers³awa;Glada³a
Adelina;Wohlleben
Stanis³awa;Jelik
Anatolia;Klebla
El¿bieta;Kulczycki
Dobroniega;Melcherski
Dyzma;Murgis
Carmen;Barzach
Longina;Tymbel
Lidia;Szydzina
Tamara;Pyczkowski
Zora;Isbrandt
Swiet³ana;Gastpary
Arleta;Zeinoff
Celina;Putowski
Gryzelda;Bajdzienko
Toska;Breus
¯egota;Szawielewski
Lukrecja;G³ówczeski
Flora;Bzuk
Leontyna;Zabólska
Adrianna;Kornin
Aurelia;P³aziuk
Adelajda;Safiañczyk
Malina;Ganguin
Cyriaka;Szpona
Ganda;Muæk
Krzysztofa;Lorisz
Aneta;Steidel
Eligia;Growiec
Zuzanna;Maciusiak
Emma;Morenowska
Ernestyna;Wymys³a
Szeliga;Bojczenkow
Kinga;Wielanier
Apolonia;Anasiak
Pia;Prusiak
Ariadna;Kumaczek
Glikeria;Daya
Mina;Skowider
Beda;Mietecki
Saba;Niecewicz
Demetria;Heintzel
Zenona;Pajo³ek
Aurora;Ciê¿czyk
Ariadna;Rozmaita
Eudoksja;Lichorobiec
Amalia;Deznerowicz
Olga;Wycza³owski
Olimpia;Niemañski
Ulryka;K³asiewicz
Magda;Gerez
Tekla;Blochut
Dobromi³a;Domiechowska
Ditta;Luœciñski
Judyta;Meuller
Boles³awa;Petlakowski
Kasjana;Krzykocki
Laurencja;Zbylot
Bogumi³a;Mellen
Adelajda;Kudajczyk
Koleta;Sosabowski
Rena;Koddaj
Ludgarda;Mnichowski
Przec³awa;Kostjanczuk
Mœcis³awa;Simborowski
Beatrice;S³uchanek
Helena;Frohlich
Kaja;B³aszowska
Lubosza;Maœcibrodzki
Oswalda;Æwielich
Przec³awa;Starasz
Budzis³awa;G¹sewski
Wera;Te¿ycka
Nikita;Bartlik
Geraldyna;Orenkiewicz
Dina;Steszyn
Rufina;Jurgojæ
Emiliana;Ner
Felicyta;Chachnowski
Niemira;Switañska
Julia;Trojk
Maura;Lajszczyk
Pudecjanna;Krajs
Minodora;Sedlaszek
Godzis³awa;Lotniewski
Jadwiga;JaŸnicki
Koleta;Krz¹pa
Mieczys³awa;Hübsch
Leopolda;Marjaniuk
Zawisza;Wojnak
Amiceta;Krwawnicka
Dalila;Wêzewski
Anna;Bahyra
Otylia;Jendraszewski
Melania;Kitschke
Klemencja;Czubas
Eulalia;Pierwszy
Sulis³awa;Manuszyniec
Koleta;Wrug
Kryspina;Pielorz
Karena;Garstkiewicz
Krystyna;Mo³das
Regina;Stryjakowski
Lilla;Wa³êsewicz
Felicja;Kasiec
Laurencja;Ziuko
Krzesis³awa;Poronin
Gawry³a;£upieñ
Dionizja;Ogradniczak
Marcela;Kaczu³a
Marcjanna;¯urka
Alfreda;Kaftal
Hipolita;Jucholska
Klemencja;Teras
Alberta;Giglewicz
Nina;Masz³ykina
Irma;Tusiak
Ciechos³awa;Ha³as
Kleopatra;Jurina
Franciszka;Witner
Matylda;Hauzman
Metoda;Mirañczuk
Lubosza;Hondek
Mirella;Daruch
Zbigniewa;Dziêczewski
Gerarda;Witusik
Weronika;Znajdek
Ma³gorzata;Kanszur
Budzis³awa;W³odzikowski
Agnieszka;Runda
Telimena;Nakulewicz
Przemys³awa;Prynczewska
Stronis³awa;Sremecki
Liwia;Portasz
Godzis³awa;Chorz¹pa
Laurentyna;Erbling
Bartolomea;Laczkowski
Oktawia;Poplicka
Kwiryna;Boftcher
Tolis³awa;Medvey
Borzys³awa;Siusta
Eunika;Niederliñski
Margareta;Pó³grabin
Eunika;Kiryziuk
Salomea;S³onewicz
Adrianna;Habrycka
Ludomira;Stry¿a
Adelajda;Dymek
Edyta;Kohutyñski
Judyta;Skór¿ewska
Carmen;Zinber
Œcibora;Stalin
Joachima;Stolpiak
Bo¿ys³awa;Don¿o³
Gerarda;Chahulska
Mi³os³awa;Sobotiak
Eliga;Sanczak
Eunika;Wo¿ek
Irena;Szalski
Agata;Podliœ
Ganda;Pruchniakowski
Bohdana;Nostorek
Manfreda;Piernikarczyk
Zdzis³awa;Rozenblatt
Roberta;Wecrocy
Kira;Chód
Emanuela;Zaduniñski
Rafaela;Neitko
Wierzchos³awa;Czesiejko
Leopolda;Flejschhacker
Magdalena;Iwanoczko
Leontyna;Jacobs
Gustawa;Rypka
Tworzys³awa;Niszta
Salomea;Budras
Marta;Karolun
Eufemia;Janitzke
Eudoksja;Szyska
Halina;Grosta
Arletta;Suchostawski
Kordula;Ko³kin
Sylwana;Engelhart
S³awomira;Baryj
Edda;Lilis
Franciszka;Nawody³o
¯ywia;Szwêdrys
Amadea;Reising
S³awa;Wiaderski
Saturnina;Gordecha
Rados³awa;Sarnio³a
Ozanna;¯elewo
Malina;Wiêzio³owska
Wielis³awa;Kodek
Aldona;Ablakimow
Natalia;Duczymiñski
Narcyza;Kowerczuk
Miriam;Macha³
Malina;Kearney
Ilia;Komzub
Bohdana;Frajnagiel
Oriana;Malengowski
Sobies³awa;Zagul
Jakobina;Szalczun
Józefina;Kloksyn
Marina;Œwiêta³ek
Rozalia;Bissak
Ida;Staro¿eczko
Mina;Cycór
Sulimiera;Trzaskoœ
Lolita;Najlepsza
Galla;Harbuszyn
Lea;Ferlich
Prakseda;Hawellek
Sabina;Szczemrzyk
Hilaria;Gurba³a
Bogumi³a;Nienczewicz
Alina;Krywos³yk
Angelika;Col
Bernadetta;Chardyœ
Mieczys³awa;Saredyn
Waldemara;Dassow
Mechtylda;Reblin
Adolfina;Gierymski
Honoryna;Zachomski
Izabella;Tarakowski
Wierzchos³awa;Kapa³a
Wirginia;Jachm
Oriana;Pestewska
Dianna;Massarnowski
Angela;B¹bik
Henryka;Glowiñski
Raissa;Barniuta
Lucyna;Gakuœ
Wincenta;Adamienia
Augustyna;Dra¿kiewicz
Scholastyka;Pasyja
Irina;Nycznik
Bernadeta;Æwirynka³o
Wanda;Wiencho³
Domis³awa;Imieniarek
Eufemia;Szczuraszyk
Ruta;Starck
Sulimiera;Grygula
Lucja;Zubr
Bogus³awa;Natgrodkiewicz
Pêcis³awa;Pochroñ-Frankowski
Sybilla;Sywanek
Iwetta;Titarenko
Kesja;Ozymonowicz
Szczêsna;Czuske
Edyta;Gerstke
Irena;G¹cka
Anna;Po³puñska
Alfreda;Ameljan
Lilla;PaŸdzech
Józefa;Prucel
Eunika;Fir
Sêdzis³awa;Przennak
Tatiana;Spes
Michalina;Silach
Emilia;Ass
Krystiana;Sikorenko
Ksymena;Daleko
Oliwia;Ba³anowski
Antonina;M¹drkowski
Ró¿a;¯wiorek
Berenike;¯wawy
Kesja;Geister
Dagmara;Jerka
Alicja;Cryc
Marianna;Rozwerowska
Inga;Hecht
Madlena;Kroszke
Perpetua;Oferowicz
Irmina;Tryblis
Klara;Makarow
Tekla;Matyjaszczuk
Borzys³awa;Murmañski
Luba;Kalter
Cyntia;Szalsza
Nadia;Kroñ
Witolda;Sprêglewski
Wyszeniega;Serwiszowska
Nonna;Grzewna
Hiacynta;Pagnani
Leonia;Mi¿a³ek
Bernadetta;Grajcarski
Wojciecha;Gurszyn
Józefina;Ka³osowska
Rafaela;Armanowicz
Hermina;Borzeskowski
Saturnina;Wachsmann
Wies³awa;Smaryga
Honoryna;Szwapka
Mironiega;Biercz
Diomada;Borwkow
Miros³awa;Rombieliñska
Hermenia;Krochmalik
Zygfryda;Pendias
Aisza;Chruszczycki
Kasjana;Skrzeczyñski
Ludmi³a;Witczyszyn
Wirginia;Lut
Henryka;Bettyna
Aspazja;Toposzkiewicz
Sonia;Kieparda
W³oœcis³awa;Murin
Mi³os³awa;Szczeponowska
Wanda;KuŸniarski
Anita;Nikczeñski
Karolina;Sargowska
Maria Magdalena;Dêkierowski
Euzebia;Fiugaj
Demetria;Pachuta
Rados³awa;Jenert
Luiza;Baruczewska
Ludmi³a;Macha³o
Olimpia;Kulos
Wioletta;Kosiniek
Diomeda;Ahne
Stefania;£uciñski
Gallina;Hurlet
Dagna;Kalimowicz
Teresa;Jenraszkiewicz
Lilianna;Klamasz
Boles³awa;Dulapa
Estera;Porzuc
Debora;Dzi¹gelewska
Wies³awa;Symenka
Szymoneta;Poswitaj³o
Jagna;Suraga
S³awomira;Gaszta
Halka;Czambu³a
Klaudyna;Ranoch
Bartolomea;Totarczak
Ita;Montian
Wszebora;Humko
Radomi³a;Matwijczuk
Tolis³awa;Liczuk
Nina;Niewiada
Wincenta;Bugiel
Iwetta;Grzaslewicz
Ilza;Droñski
Wielis³awa;Korsekwa
Joachima;Ciembrowicz
Czes³awa;¯urków
Raissa;Sobalak
Wies³awa;Zorena
£ucja;Kie¿elewska
Inga;Mi¹¿ko
Luba;Siemionek
Magda;Brotko
Jowita;Schöner
Mirabella;Dysarz
Lubomira;Purgel
Eligia;Hyrda
Angelina;Ostrzotek
Lea;Nagoñcza
Anastazja;Siwierski
Sieros³awa;Srpigiel
Amadea;Jazdonczyk
Jaros³awa;Dikta
Iwa;Taranienko
Wiwanna;Krywczykiewicz
Ewa;Horniatkiewicz
Cezara;Sonberg
Wyszeniega;So³udczyk
Miros³awa;Frane¿yk
Waldemara;Bede³
Adriana;£abarzewski
Martyna;Talarek
Magda;Zwierzyñski
Renata;Cinner
Tatiana;Jêczmieñczuk
Laurencja;Cembnich
Joachima;Zbójnikowski
Przec³awa;Ungierek
Wierzchos³awa;¯eniuk
Lubomira;Muroczkowska
Izolda;Sitkiewicz
Janina;Wojtaszczak
Jadwiga;Zuryszak
Minodora;Lêdzin
Lora;Pustenik
Cyriaka;Cichoniec
Beatrycze;Siewodnik
Ramona;Bondarzy
Neomi³a;Chrysteñko
Konstancja;Skardowski
£ucja;Nis
Bogumi³a;Gadorowska
Dalila;£ejczyk
Eufemia;Chatysiak
Sebastiana;Roso³aniec
Eudokia;Wielgosiak
Bogdana;Dzie³ach
Juda;Goldschsmidt
Eliza;Drogowolski
Eulalia;Hylewski
Mina;Mahltig
Wanda;Rossel
Teodora;Jadrnik
Ludmi³a;Pacoszka
Brygida;Bankowski
Emiliana;Cymarska
Bolis³awa;Pobieda
Ditta;Minzberger
Asteria;Suchodaj
Norberta;Bugaj
Marzena;W³oœciñska
Hermenegilda;Wyrebak
Pamela;Smaglowski
Bo¿ys³awa;Kozioziembski
Wiola;Szachuñ
Carmen;Gudziak
Agnieszka;Kleped³o
Romana;Cyrano
Ariadna;Natuszewicz
Edyta;Kracjarz
Zora;Folchman
Hiacynta;Bytom
Zula;Haraœna
Lilianna;Sentek
Alfreda;Rydlicki
Flora;Lejan
Zora;Dawul
Dobis³awa;Matyœniak
Dobros³awa;S³omczyñski vel S³omka
Mindora;Schmelterowska
Izabela;Kalmanowski
Adriana;Ch¹ziñska
Angela;Marcjoniak
Honoryna;Grech
Lolita;Derdko
Niegos³awa;Sangar
Hilaria;Bi¿on
Koleta;Milenka
Januaria;Biebersztain
Leontyna;Czernowa³ow
Maria Magdalena;So³owjaniuk
Augusta;Zajêcki
Sulimiera;Chajter
Georgia;B³êdek
Klaudyna;Szynkielewski
Domicela;Bryndio
Julianna;Goncerski
Mina;Sk³adzien
Bartolomea;Krzaœnik
Hermenia;Stasiczyn
Flawia;Nogciñski
Kaja;Chody³o
Atanazja;Kukulski
Celina;Jumko
Mirella;Wasilka
Oktawia;Kabiœ
Petronela;Oszkowska
Lena;Pêkól
Leopoldyna;Stok³asek
Amelia;Padyk
W³odzis³awa;Spil
Koleta;Artemjuk
Rufina;Wehrmann
Julia;Szczupanczuk
Loretta;Dycewicz
Boguchwa³a;Stefaniw
Œwiêtomira;Ronicki
Krystyna;Alendarczyk
Amalia;Hamerlok
Eligia;Budyniec
Dionizja;Pisarzak
Ignacja;Akoliñski
Kordelia;Stakun
Nora;Szykszniasz
Romana;Dewerny
Rita;Pszcze³owski
Luiza;Krschniak
Tworzys³awa;Willenhart
Eufemia;Koœciw
Dalida;Rudzin
¯egota;Kaffl
Gra¿yna;Fediak
Amelia;Cicharek
Fryda;Siedermann
Ksymena;Wejdyger
Klarysa;Falikowski
Chwalis³awa;Tyndyko
Berta;Rejduch
Waldemara;Imburski
Henryka;Jasielik
Pêcis³awa;Terpeluk
Eliza;Piechalski
Halka;Usz
Boguwola;Fryzerman
Gallina;Chlebny
Ditta;Chraszcz
Julita;Frensel
Izolda;Wertyporoch
Angelika;Peclik
Bryda;Pymek
Dobroniega;Segita
Izabela;Trelowicz
Ida;Smorak
Drogos³awa;Margian
Joachima;Panderz
Placydia;Warcenga
Rebeka;Horzampa
Manfreda;Borsztyn
Dagna;Masiczek
Drogos³awa;Tugl
Sabina;Klajnszmyt
Adriana;Wymys³owski
Domas³awa;Kasianiak
Jewdocha;Bezruczko
Januaria;Budzia³ek
Emiliana;Gie³¿ecki
Lucja;Gabryeniak
Sieros³awa;Krawenda
¯egota;Spaworowski
Odila;Kubasow
Faustyna;Führer
Konrada;Nanys
Gracjana;Warecki
Pêcis³awa;Czamarczak
Wiktoria;Chêciów
Magdalena;Cielebias
Mindora;Griniów
Eulalia;Jogucki
Jeros³awa;Minkacz
Oswalda;Jurkiun
Jakobina;Dylejewska
Zbys³awa;Milotzki
Ludomira;Bartoszuk-Antoszewski
Iwa;ZaroŸna
Mi³a;Owczarny
Benita;Drejcz
Zora;Ziêbiekiewicz
Gawry³a;Dzióba
Karena;Rzechulka
Edda;Zawrzykaj
Bogdana;Dyky³
Bêdzis³awa;Ko³ys
Arleta;Raszat
Eufrozyna;Wychodañczuk
Herminia;Heglasz
Greta;Faude
Sieros³awa;Herop
Eudokia;¯ychariew
Bazylissa;Stefaiñski
Anna;Cimalla
Oksana;Feczan
Lubomi³a;Zahubiniak
Sofia;Okrêglak
Edyta;Sornek
Jaœmina;Dêbko
Samuela;Uzin
Klara;Tiuszkiewicz
Emanuela;Krowczyñski
Boguwola;Podgórny
Zbigniewa;Repiejko
Izabella;Danilkowicz
Lea;Góroñ
Leopoldyna;Hellmich
Wrzes³awa;P³u¿yczko
Florentyna;Jarmi¿
Amanda;Galastowicz
Adolfina;Ligej
Aurelia;Kornota
Lea;Szmuklis
Wiêcemi³a;Lusak
Petronela;Szerenga
Michalina;WaŸnica
Pelagia;Barnuœ
S³awomira;Boumant
Ariadna;Hichel
Aspazja;Arusz
Ramona;Bafta
Ramona;Parœciñska
Bo¿ys³awa;Ko³yk
Mindora;Szuplewski
Hildegarda;Miodun
Emanuela;Krasecki
Eufemia;Koczasik
Sulimiera;Kubeœ
Cieszys³awa;Koryski
Maura;Kamiñszczyk
Walentyna;Gruss
Rozalia;Snurawa
Adelajda;Bulow
Kira;Nemeth
Martyna;Noskau
Ditta;Majako
Marika;Piraszkiewicz
Bibianna;Hakenszmit
Salomea;Smagrowska
Kira;Niczak
Irena;Korniuk
Agata;Ajdarów
Wojciecha;Konaszkiewicz
Sulimiera;Czernizer
Maria;Klafczewska
Wojciecha;Boszczuk
Adriana;Wyrobko
Lamberta;Onyœkiewicz
Lena;Lopocz
Rajmunda;Czynkiel
Wyszeniega;Degan
Ciechos³awa;Chorawiec
Eliga;Firfass
Teodoryka;Bonini
Nadzieja;Buderska
Szymoneta;Ordanowska
Marietta;Tandaszyk
Bogna;Zbierkowski
Wojciecha;Go³atyñska
Sêdzis³awa;Szleusener
Olga;Marenko
Roksana;Cikorski
Seweryna;Pazynicz
Amanda;Mordzik
Jurata;Czernaœ
Agata;Szablak
Klotylda;Bochdzioch
Waleria;¯añ
Filomena;Biedol
Ksawera;Jamielita
Iryda;Anastasiow
Dobrochna;Lewukiewicz
Lidia;Zemgla³a
Irina;Lipnowski
Albertyna;Lawruszczak
Gallina;Barachowski
Rozyna;Cach
Bernardyna;Bruchot
Ilia;Kuczoba
Orchidea;Synyczak
Anastazja;Lubdowska
Potencjana;Pilaszewicz
Tekla;Saifert
Greta;Kielbich
Kwiatos³awa;£oszniów
Hermenegilda;Steinhauf
Rados³awa;Spotys
Kazimiera;Torchalla
Dezyderia;Gelffert
Rachela;Boniuk
Dominika;Steiness
¯alina;Tlo³³a
Gerarda;Ruznerski
Dagmara;Wn¹k
Zawisza;Wiermiejczyk
Marzanna;Sznurkowiak
Teodoryka;Mazdrzowska
Józefa;Harachuc
Pudecjanna;Romachniej
Zefiryna;Bzducka
Radzis³awa;Budzi³owicz
Madlena;Hodgarska
Taida;Kopieñka
Aurela;Hahs
Kwiatos³awa;Gonsowski
Glikeria;Rozmanit
Cyriaka;Salamendra
Ewa;Nosar
Placydia;Chadrysiak
Narcyza;Liesy
Pudecjanna;Kierszke
Arleta;Samoñko
Alicja;Zwolana
Tadeusza;Dymanus
Norma;Podusiñski
Gryzelda;Mólska
Wrzes³awa;Weremiuk
Waleriana;Legawica
Zelmira;Fryda
Irmina;¯ezelewicz
Bryda;Kremkowski
Agrypina;Koztrzyñska
Pryska;Sról
Klara;Nowoszek
Daniela;Dzie³aki
Swiet³ana;Sol
Celestyna;Periwoliotis
Ludomira;Ko³aniecka
Marcjanna;Woron
Sandra;Hurak
Sonia;Myziñska
Agata;Becwar
Kwiryna;Sempak
Lilianna;Siedelska
Ada;Nikolski
Malwina;Kinyc
Blandyna;Gwarnicki
Mi³a;Cirkós
Borzys³awa;Perszke
Kornelia;Niewoda
Gerarda;Fallenczyk
Oriana;Zó³koœ
Szymoneta;Rybowicz
Benigna;Durasiok
Halka;Deniak
Ariadna;Adamaczuk
Adelina;Mózgowski
Tomis³awa;Bieli³owiec
Lubomira;Gagara
Aurela;Anowicka
Nikita;Ga³¹zkowski
Ewa;Miczel
Abigail;Opachowska
Lukrecja;Jastrzêmska
Demetria;Rude³
Witos³awa;Jarmiñski
Radzis³awa;Laiman
Angelina;Hardyniak
Erazma;Kreme¿
Heloiza;Drogmira
Budzis³awa;Sztogryn
Adria;Jazowiak
Erazma;Mazaniec
Aleksandra;Pu³anowska
Eulalia;Kalenikowicz
Ernesta;Harzowski
Loretta;Dziórawiec
Kamelia;Boes
Œwiêtomira;Halenda
Kleopatra;Bo¿ej
Berta;Kesterke
Hiacynta;Tlo³³a
Witos³awa;Micz
Bernadeta;Tatrowski
Milena;Danilczuk
Olga;HudŸko
Paula;Katiurzyn
Cezaryna;Brdawka
Areta;Kronhaus
Œcibora;Jelc
Kaliksta;Zas³u¿ny
Dobrochna;Kondyœ
Rozalia;Parasielski
Teodora;Pilacz
Krystyna;Ma³aczkiewicz
Linda;Adamak
Ró¿a;Me³ga³w
Wenesa;Zwierzewski
Ksaweryna;M¿ewski
Felicyta;Beim
Pia;Larendowicz
Aniela;van Dijk
D¹brówka;Warkocki
Eufrozyna;Groskreuz
Natalia;Syrel
Kaja;Fetha
Anatolia;Horynica
Fryda;Wolschlager
¯ywia;Michnionek
Boñcza;¯o³êdiewski
Leontyna;Homentowski
Ida;Loster
Kamilla;Nagibór
¯egota;¯erawiec
Dawida;Barzik
Pulcheria;Ko³udzki
Demetria;Guziejko
Kosma;Nogajewski
Geraldyna;Ajzenbard
Gertruda;Szulnis
Tomis³awa;Pitrzykowski
Lubomi³a;Czellik
Ernestyna;Barciuk
Mechtylda;Kifert
D¹brówka;Federczak
Pêcis³awa;Tynkowski
Jowita;Repety³o
Zawisza;Kohsater
£ucja;Bobora
Gawry³a;Czyrniak
Sêdzis³awa;Hreczniak
Wilhelmina;Disterbeft
Ksenia;Torchu³a
Zbys³awa;Kalasa
Dobies³awa;Lubocz
Filipina;Francica
Niegos³awa;Orubkiewicz
Toma;Baber
Radomi³a;Gzy³o
Martyna;Nodyñska
Grzymis³awa;Oszacka
Potencjana;Amszaruk
Iwetta;¯arski
Ryszarda;Harbaczuk
Rafaela;Koliszew
Aurela;Parafjañczyk
Maria Magdalena;Flerarz
Sulimiera;Fryber
Krystyna;Szpeciñski
Hermina;Karuga
Teodora;Signus
Bo¿eciecha;Complak
Jarmi³a;Tanana
Galla;Arystowski
Regina;Pr¹tecka
Halszka;Chlebikowska
Mi³os³awa;Rybakiewicz
Beata;Duchonowski
Strze¿ys³awa;Z¹broñ
Angelina;Rydleski
Telis³awa;Predeba
Dziers³awa;Regalski
Maura;Pisarik
Wenesa;Wojszkun
Liliana;Rzemyszkiewicz
Kwiryna;Pa³ubiak
Bogumi³a;Merks
Roœcis³awa;Wokal
Monika;Michon
Albertyna;D¿abka
Aurela;Komarzyñski
Kunegunda;Rora
Adela;Kuchrski
Aurora;Skubniewski
Wrócis³awa;Dehring
Iryda;Latowicz
Borzys³awa;Forsztag
Sylwia;Anaczewska
Adela;Rzadkosz-Cupak
Nikita;Wawnik
Selma;Gajdysiak
Taida;Micoœ
Norberta;Jolenek
Biruta;Talasowicz
Karolina;Batnikiewicz
Larysa;Kob¿yñski
Wrócis³awa;Lubera vel Libera
Kasjana;Sender
Serafina;Bodylski
Kamila;Bo¿enius
Przybys³awa;Niznalski
Amata;Wachnikowski
Alicja;Boboch
Begina;Bu³an
Wiktoria;¯ónowska
Kornelia;Womperski
Albina;Grynglas
Mironiega;Wygnanowski
Radzis³awa;Fudolej
Perpetua;Jugielska
Benita;MoŸdzionek
Bernardeta;Frondziak
Katarzyna;Szachnitowski
Bernardeta;Cado-Sadowski
Margareta;Wójsowicz
Izyda;Trójczak
Tatiana;Plecner
Eudokia;Bezulski
Lukrecja;Waraszkiewicz
Laza;Kie¿dun
Dominika;Wazarewicz
Dobies³awa;Bytkaluk
Dalila;Froesa
Maja;Sa³ojczyk
Ludomi³a;Ropiñski
Genowefa;Bogoczyñski
Krystiana;Jedrak
Szarlota;Hedruœ
Liberata;Chyc-Magdzin
Kordula;Preferansow
Wis³awa;Kanclerz
Odilla;Gwardjak
Bernadeta;Szcz¹pek
Lucyna;Kopyniecki
Bernardeta;Cybula
Ita;Nakulewicz
Dziers³awa;Bielus
Kunegunda;Kuczenrajter
Przybys³awa;Paluœ
Rozalia;Szartowicz
Petronela;Dalmas
Julia;Wo³onkiewicz
Jolanda;Jurgalska
Monika;Go¿dzielewicz
Sydonia;Kodalczyk
Bernardeta;Ryba³kin
Eliga;Wójsiuk
Wrzes³awa;Sichlimirys
Fryderyka;Lambridu
Mirella;Pietraszuk
Domis³awa;Seredejko
Eleonora;Wenkowska
Edda;Elstner
Romualda;Schmiegiel
Rebeka;Strazyñski
Dezyderia;Grebluk
Anastazja;Maksin
Agata;Jêczawska
Norma;Bia³ogoubek
Enema;Ga³u¿na
Barbara;Niechorska
Karena;Badajków
Maura;Smuk
Joachima;Dole¿yca
Romualda;Dry¿
Saturnina;Miesojada
Mina;Wójczak
Roma;Demarkowski
S³awa;Maneroñska
Hermenegilda;£askarzewski
Imis³awa;Krakczyk
Gallina;Jó¿af
Georgina;Manterus
Tomis³awa;Barbadziñska
Klotylda;Pribulka
Rozyna;Starus
Wera;St¹pa³a
S³awa;Legiêæ
Domicela;Tyzbirek
Cyntia;Nierda
Saturnina;Gapunowicz
Wiwanna;Waronowicz
Jaœmina;Zileniewski
Irma;Pierzcha³
Aga;Menert
Pamela;Jarocewicz
Wszebora;Koczyrasz
Mi³a;Wrzeszyñska
Luiza;Wênsiora
Gizela;Chendor
Diana;Koscieñski
Bogus³awa;Ramzo
Gryzelda;Gutta
Klarysa;Piersiala
Ruta;Kordzia³
Koleta;Szerszeniewicz
Dobies³awa;Rudzienek
Ewa;Galerczyk
Dezyderia;Grzempski
Ozanna;Oszarska
Rachela;Szultis
Bogumi³a;Wata³a
Anita;Sypczuk
Ró¿a;Heingebarth
Ingrid;Serdecki
Lea;Wszêdyba³
Berenika;Simieniuch
Szarlota;Adydant
Kamilla;Mszeborowska
Odilla;Rysa
Sebastiana;Majkus
Lucyna;DŸbanuch
Gardenia;Chimicz
Taida;Zgrzelnik
Galla;Kelke
Leokadia;Czemecka
Franciszka;Leonhardt
Kaliksta;Huza
Jolanta;Dechsler
Wac³awa;Janusiuk
Ingeborga;Rad³oñ
Wilhelmina;Meclik
Lora;Ba³uszka
Tomira;Jarz¹bak
Lucylla;Sieledców
Ruta;Barutzky
Dobrocha;Chodlik
Ditta;Jachyra
Feliksa;Osadowski
Les³awa;Leptacz
Heloiza;Klernasiewicz
Bernadetta;Berbenko
Halka;Broton
Genowefa;Sa³asz
Oksana;Gorodnia
Marcela;Sid³a
Mindora;Ancan
Klarysa;Cedzel
Adamina;Droñka
Iryda;Worwik
Gaudencja;Horacek
Kryspina;Fêglerski
Begina;Hulewicz
Ruta;GraŸka
Teodozja;Œwinecki
Trzebis³awa;Gondowska
Rudolfa;Gwid
Norberta;Jasil
Loretta;Ciosowska
Wyszeniega;Jêdruszna
Ludmi³a;Kura¿ko
Andromeda;Mukrasch
Inga;Cipla
Leona;Maudziewicz
Bryda;Nikolowski
Gaudencja;Szmerling
Anastazja;Hnatkowicz
Swiet³ana;Parc
Zefiryna;Strang
Rachela;Kapista
Dobromira;¯erebicka
Angelina;Ozarzewski
Boles³awa;Pryschepa
Madlena;Cielejewski
Liza;Nieczarowski
Bo¿ena;Repetski
Delfina;Czernij
Lora;Janelli
Taida;Ulanowski
Ma³gorzata;Welkens
Alojza;Stenslowski
Bogna;Mukowozczik
Dobies³awa;Flugiel
Irina;Weissbeck
Samuela;Rytlewski
Domicela;Nieisz
El¿bieta;Szemiakin
Gloria;Kierniacki
Atanazja;Siberski
Lora;Sochonos
Agnieszka;Carewicz
Marianna;Brewczyk
Bronis³awa;Leppelt
Kazimiera;Kieracz
Liwia;Szreta
Carmen;Bejs
Klementyna;Buldañczyk
